"","IP","age_read","destination","experimentName","grade","idnumber","lang","sex","time","time_in_a_week","userCode","userFileName","year"
"1","90.154.70.229",NA,"agreement.csv","lopuhinpredicttest",NA,"","русский","male",NA,"min60","KTO1",1,34
"2","90.154.70.229",NA,"agreement.csv","lopuhinpredicttest",NA,"","fsdf","male",NA,"min30","KUW2",2,34
"3","90.154.70.229",NA,"agreement.csv","lopuhinpredicttest",2,"","русский","male",NA,"min30","QJA5",5,23
"4","95.84.239.162",5,"agreement.csv","lopuhinpredicttest",10,"","русский","female",NA,"min60","XKN10",10,16
"5","95.84.239.162",5,"agreement.csv","lopuhinpredicttest",10,"","русский","female",NA,"min60","COA11",11,16
"6","109.252.114.234",4,"agreement.csv","lopuhinpredicttest",10,"1","русский","female",NA,"min30","QOM14",14,16
"7","109.252.51.218",5,"agreement.csv","lopuhinpredicttest",10,"2","Русский","male",NA,"min100500","WUV15",15,16
"8","213.87.133.242",3,"agreement.csv","lopuhinpredicttest",10,"4","Русский","male",NA,"min10","HES16",16,16
"9","62.122.208.148",6,"agreement.csv","lopuhinpredicttest",10,"6","русский","female",NA,"min30","DPM17",17,16
"10","109.252.85.85",5,"agreement.csv","lopuhinpredicttest",10,"5","Русский","male",NA,"min10","AFO18",18,16
"11","109.252.85.85",5,"agreement.csv","lopuhinpredicttest",10,"5","Русский","male",NA,"min10","ATZ19",19,16
"12","37.146.75.226",5,"agreement.csv","lopuhinpredicttest",10,"3","Русский","female",NA,"min100500","ESZ20",20,16
"13","31.173.87.124",5,"agreement.csv","lopuhinpredicttest",10,"9","Русский","female",NA,"min100500","XNX21",21,16
"14","31.173.87.124",5,"agreement.csv","lopuhinpredicttest",10,"9","русский","female",NA,"min100500","RKN23",23,16
"15","88.135.80.7",5,"agreement.csv","lopuhinpredicttest",10,"12","Русский","male",NA,"min30","WIH24",24,16
"16","109.252.201.210",5,"agreement.csv","lopuhinpredicttest",10,"15","русский","male",NA,"min100500","PNE25",25,16
"17","91.193.177.115",5,"agreement.csv","lopuhinpredicttest",10,"24","Русский","male",NA,"min100500","AUS26",26,16
"18","91.193.177.115",5,"agreement.csv","lopuhinpredicttest",10,"24","Русский","male",NA,"min100500","TZG27",27,16
"19","195.91.247.65",7,"agreement.csv","lopuhinpredicttest",10,"28","русский","female",NA,"min10","PTI29",29,16
"20","46.242.13.120",4,"agreement.csv","lopuhinpredicttest",10,"18","Русский","male",NA,"min10","SAT30",30,15
"21","178.176.75.149",5,"agreement.csv","lopuhinpredicttest",10,"9","русский","female",NA,"min100500","NQE31",31,16
"22","176.195.48.53",6,"agreement.csv","lopuhinpredicttest",10,"30","РУССКИЙ","female",NA,"min90","XUN32",32,16
"23","109.252.65.239",4,"agreement.csv","lopuhinpredicttest",10,"29 ","Русский","female",NA,"min10","JGJ33",33,16
"24","178.176.79.224",5,"agreement.csv","lopuhinpredicttest",10,"8","Русский","male",NA,"min100500","WBF34",34,16
"25","213.87.158.102",4,"agreement.csv","lopuhinpredicttest",10,"19","Русский","female",NA,"min60","HNW35",35,15
"26","109.252.65.239",4,"agreement.csv","lopuhinpredicttest",10,"29 ","Русский","female",NA,"min10","FBH36",36,16
"27","109.252.114.186",4.5,"agreement.csv","lopuhinpredicttest",10,"33","Русский язык","female",NA,"min90","PQY37",37,15
"28","109.252.202.88",4,"agreement.csv","lopuhinpredicttest",10,"10","Русский","male",NA,"min30","SFC38",38,16
"29","109.252.138.22",5,"agreement.csv","lopuhinpredicttest",10,"14","Русский","female",NA,"min100500","BFN39",39,16
"30","213.87.158.102",4,"agreement.csv","lopuhinpredicttest",10,"19","Русский","female",NA,"min60","CJX40",40,15
"31","95.165.26.204",4,"agreement.csv","lopuhinpredicttest",10,"17","русский","female",NA,"min90","ROQ41",41,15
"32","95.165.26.204",4,"agreement.csv","lopuhinpredicttest",10,"17","русский","female",NA,"min90","FSL42",42,15
"33","95.165.26.204",4,"agreement.csv","lopuhinpredicttest",10,"17","русский","female",NA,"min90","ZAL43",43,15
"34","178.140.105.35",5,"agreement.csv","lopuhinpredicttest",10,"13","Русский","female",NA,"min60","RKA44",44,15
"35","46.188.123.66",5,"agreement.csv","lopuhinpredicttest",10,"16","Русский","female",NA,"min100500","ZYY45",45,16
"36","212.34.48.236",3,"agreement.csv","lopuhinpredicttest",10,"31","русский","female",NA,"min90","FDE46",46,15
"37","213.87.131.112",5,"agreement.csv","lopuhinpredicttest",10,"36","Русский","female",NA,"min60","SBQ48",48,15
"38","213.87.153.89",5,"agreement.csv","lopuhinpredicttest",10,"1","русский","male",NA,"min30","VLO49",49,16
"39","46.50.170.59",5,"agreement.csv","lopuhinpredicttest",10,"39","русский","female",NA,"min90","JVV51",51,16
"40","217.66.158.50",3,"agreement.csv","lopuhinpredicttest",10,"38","Русский","female",NA,"min100500","SBH51",51,15
"41","217.66.158.50",3,"agreement.csv","lopuhinpredicttest",10,"38","Русский","female",NA,"min100500","VQU52",52,15
"42","176.59.33.37",3,"agreement.csv","lopuhinpredicttest",10,"40","Русский","female",NA,"min100500","VVU53",53,16
"43","217.66.158.50",3,"agreement.csv","lopuhinpredicttest",10,"38","Русский","female",NA,"min100500","BXS54",54,15
"44","178.140.220.52",4,"agreement.csv","lopuhinpredicttest",10,"37","русский","female",NA,"min90","MWE55",55,16
"45","109.252.14.137",5,"agreement.csv","lopuhinpredicttest",10,"21","Русский","male",NA,"min90","QMY56",56,16
"46","78.81.158.131",4,"agreement.csv","lopuhinpredicttest",10,"43","русский","female",NA,"min100500","NHN57",57,16
"47","212.35.190.214",3,"agreement.csv","lopuhinpredicttest",10,"40","Русский","female",NA,"min100500","API58",58,16
"48","37.195.166.167",6,"agreement.csv","lopuhinpredicttest",10,"45","русский","female",NA,"min100500","IKX59",59,15
"49","128.74.63.39",5,"agreement.csv","lopuhinpredicttest",10,"44","Русский","male",NA,"min30","KDM60",60,15
"50","5.143.131.140",4,"agreement.csv","lopuhinpredicttest",10,"46","Русский","male",NA,"min100500","HHG61",61,16
"51","5.143.131.140",4,"agreement.csv","lopuhinpredicttest",10,"46","Русский","male",NA,"min100500","RDB62",62,16
"52","5.16.124.224",5,"agreement.csv","lopuhinpredicttest",10,"41","Русский","female",NA,"min60","CHP63",63,16
"53","85.140.18.126",6,"agreement.csv","lopuhinpredicttest",10,"47","русский ","female",NA,"min100500","DYY64",64,16
"54","109.252.201.52",6,"agreement.csv","lopuhinpredicttest",4,"201","Русский ","male",NA,"min90","YJT65",65,21
